id_processo,numero_processo,polo_ativo,polo_passivo,tipo_processo,area_juridica,valor_causa,custo_total,honorarios_advogado,provisao_risco,fase_atual,status_processo,data_abertura,data_ultima_movimentacao,data_encerramento,tempo_tramitacao_dias,decisao_final,responsavel,escritorio_responsavel,tribunal_responsavel,comarca,instancia,uf_processo,descricao_processo,movimentacoes
11,45179-41.2005.2.36.8385,Laura Lima,da Mota,Inventário,Direito Imobiliário,182658.02,7250.94,21566.02,0.0,Suspenso,Suspenso,2022-04-23,2023-10-11,,,,Heloísa Vargas,Rezende Monteiro - ME Advogados,TJSC,São Paulo,STF,MG,Et est id.,"['2022-06-01: Suscipit ut impedit id fugiat harum aspernatur dolore eum.', '2022-06-26: Saepe officiis recusandae consequuntur enim.', '2022-08-10: Possimus consequuntur provident ipsum a aspernatur ducimus rerum molestias.', '2022-10-16: Minus beatae enim error aliquid in recusandae itaque beatae temporibus.', '2023-01-01: Modi odio nemo quaerat eos a explicabo necessitatibus deleniti pariatur.', '2023-03-28: Voluptate architecto minima magni voluptates mollitia hic iusto odio voluptatem.', '2023-05-12: Quibusdam explicabo architecto dolores omnis aut neque.', '2023-07-26: Consequatur explicabo excepturi odit rerum placeat voluptatem laboriosam.', '2023-10-11: Repellat aperiam quod itaque eos aliquam.']"
12,68743-02.1995.5.29.7625,Srta. Maria Helena Mendes,Laura Lima,Ação Popular,Direito Previdenciário,426078.31,48756.55,81198.16,128301.95,Suspenso,Ativo,2025-01-15,2025-06-04,,,,Bernardo Aparecida,Nunes Silva Ltda. Advogados,TST,Fortaleza,TST,MS,Fugit necessitatibus non perspiciatis veniam fuga. Nemo minus id officiis.,"['2025-02-14: Ducimus quidem deleniti explicabo quos sint ex commodi facilis.', '2025-05-08: Quia tempora harum voluptate libero libero unde maxime.', '2025-06-04: Quas aspernatur nobis reprehenderit molestias.', '2025-06-04: Aut eveniet eos ipsum quaerat cumque ipsam ipsum.', '2025-06-04: Nostrum ipsa odit recusandae animi perferendis illo maiores.', '2025-06-04: Veritatis consequuntur non quos alias architecto.']"
13,46241-92.2023.5.13.4180,Stephany Dias,Jesus Mendonça - ME,Ação Civil Pública,Direito Tributário,974320.64,85224.08,73323.38,0.0,Arquivado,Arquivado,2022-07-18,2025-04-07,2023-05-14,300.0,Procedente,André Teixeira,Nascimento Siqueira S.A. Advogados,TRT2,Belo Horizonte,STJ,AL,Facere enim harum ipsum mollitia. Perspiciatis blanditiis voluptate hic recusandae excepturi vel quidem.,"['2022-10-02: Ad delectus maxime totam blanditiis.', '2022-12-12: Provident dolor nostrum possimus voluptatum dicta consequatur.', '2023-02-08: Iste tempore ipsum assumenda placeat.', '2023-03-18: Pariatur quae mollitia enim error culpa quae praesentium.', '2023-04-08: Recusandae magni commodi dicta consequuntur ratione.', '2023-05-25: Facere nemo iusto voluptatem consectetur.', '2023-08-09: Aperiam id quaerat laboriosam illum.', '2023-09-07: Reprehenderit asperiores voluptas odit ipsum perspiciatis exercitationem soluta.', '2023-09-30: Odit delectus vitae inventore tenetur animi commodi corrupti cum eum.', '2023-12-05: Exercitationem velit tempora sapiente dolorum odio mollitia.', '2024-02-20: Numquam nostrum atque odit nihil neque.', '2024-03-15: Omnis quam non sapiente natus repudiandae.', '2024-06-11: Aspernatur veniam quo eaque distinctio.', '2024-07-02: Impedit odit libero occaecati enim vero laboriosam rem placeat error.', '2024-08-05: Porro culpa impedit iure excepturi.', '2024-09-08: Est quaerat quasi similique voluptate consectetur.', '2024-12-04: Maiores autem dolores commodi ipsum consequuntur amet veniam.', '2025-01-26: In vitae temporibus repellendus ut quam deleniti cum voluptatum iure soluta.', '2025-02-20: Ad veniam magnam vitae dolor explicabo amet libero sunt.', '2025-04-07: Enim ab autem consequatur eaque facilis illo aliquid amet.']"
14,25525-71.2016.4.67.7232,Câmara,Viana Sampaio S/A,Ação Popular,Direito Imobiliário,960148.67,22940.54,168124.92,158376.5,Encerrado,Encerrado,2022-02-11,2023-07-15,2023-05-02,445.0,Recurso Improvido,Luiz Henrique Ferreira,Azevedo Advogados,TRT3,Campinas,1ª Instância,RN,Distinctio repudiandae earum natus earum autem qui.,"['2022-02-26: Magni magnam aliquid consequatur ex labore itaque non maiores eveniet.', '2022-05-04: Et hic nulla sapiente nisi magni magni laudantium natus labore accusantium.', '2022-07-15: Perferendis voluptatem nesciunt reiciendis quas porro ad labore.', '2022-09-28: Neque quam nesciunt cupiditate occaecati nulla sapiente corporis perspiciatis adipisci.', '2022-11-19: Deleniti ipsam in impedit dignissimos.', '2022-12-08: Quod ullam sit quasi aperiam consequuntur dignissimos eveniet optio.', '2023-01-21: Fugiat vero itaque modi molestias perspiciatis sint perspiciatis rem eaque.', '2023-03-13: Deleniti doloribus nam dolore voluptate error enim dignissimos provident.', '2023-05-03: Laboriosam natus vel quam enim nemo molestiae tempore.', '2023-07-15: Repellendus veritatis rem enim enim quae expedita ipsam.']"
15,19329-87.2004.5.81.4241,Maria Luísa Pinto,Hadassa Nogueira,Divórcio,Direito Empresarial,60578.4,7328.05,13015.15,0.0,Arquivado,Arquivado,2022-06-16,2024-12-13,2023-05-26,344.0,Recurso Provido,Bruno da Conceição,Rodrigues Duarte S/A Advogados,TJRS,Goiânia,2ª Instância,AM,Voluptates iusto enim debitis.,"['2022-08-04: Amet temporibus dolorem doloremque aut ex iusto.', '2022-10-22: A mollitia ut illum vel soluta.', '2023-01-14: Officiis quidem enim eligendi animi quisquam officiis doloremque qui.', '2023-04-02: Totam cupiditate sunt cupiditate ullam.', '2023-06-12: Ratione delectus quibusdam sit enim alias error nobis.', '2023-07-07: Eligendi voluptatibus molestiae laudantium vel sed iusto deserunt.', '2023-07-27: Ex quasi officia quaerat accusamus.', '2023-10-05: Ratione necessitatibus quidem cupiditate sequi tempore repudiandae maiores.', '2023-11-30: Id atque voluptatem labore vel.', '2024-01-16: Ea doloremque quidem veritatis.', '2024-02-03: Nesciunt nemo ea facere dolores pariatur iure.', '2024-02-29: Illo magnam tempora provident est blanditiis.', '2024-04-13: Facilis dolore vero laboriosam iste voluptates fuga.', '2024-07-10: Totam quidem reiciendis repudiandae quis perspiciatis nisi ratione minima minus.', '2024-10-08: Aspernatur natus aperiam molestias magnam nemo corrupti eveniet.', '2024-10-25: Ipsam perspiciatis quaerat laborum tempore ipsum animi consequatur impedit natus.', '2024-12-13: Iure rem quam id repellendus quia neque aliquid exercitationem aperiam.']"
16,85529-05.2001.8.67.8245,Isaac Guerra,Fogaça,Usucapião,Direito de Família,333975.09,34672.86,0.0,218733.29,Suspenso,Suspenso,2021-07-28,2023-10-27,,,,Bruno da Conceição,Casa Grande Advogados,TRF2,Recife,STJ,PA,Facere sunt iure rem quam.,"['2021-10-21: Fugiat tempora ipsum totam fugiat aspernatur vitae soluta consequatur.', '2021-11-09: Blanditiis voluptatibus hic consectetur voluptatem rerum quidem voluptatem.', '2022-01-21: Perferendis molestias minus reprehenderit dolorum expedita eius vel quam.', '2022-02-16: Adipisci optio nostrum vel suscipit.', '2022-04-12: Dignissimos aut alias nisi praesentium aliquid qui.', '2022-05-29: Ipsa molestiae quidem quod consequuntur voluptatibus doloremque totam.', '2022-07-24: Eum nisi perferendis eum error corporis optio dolore error aperiam.', '2022-08-22: Sunt tenetur numquam incidunt libero voluptas velit perferendis ratione eum.', '2022-10-27: Illum error delectus modi dolores dolorem similique corporis iure.', '2023-01-15: Natus voluptas nam consequatur doloribus.', '2023-01-30: Ex aspernatur ipsum fuga modi repudiandae.', '2023-04-24: Eaque perferendis nobis sit deleniti.', '2023-07-07: Quam nam laboriosam sit ex vero accusamus vel vitae blanditiis.', '2023-09-12: Totam possimus provident id dolores eum eligendi iure officiis.']"
17,17104-24.2023.6.80.9167,Sá,Viana Sampaio S/A,Falência,Direito Civil,880965.77,68591.69,155053.9,0.0,Encerrado,Encerrado,2023-02-22,2025-06-04,2025-02-17,726.0,Recurso Improvido,Amanda Novais,Azevedo Advogados,TRT2,Belo Horizonte,STJ,PB,Consequatur ab id sapiente. Rem eveniet ex repellendus similique voluptate.,"['2023-04-30: Fuga impedit natus dolore corporis ea.', '2023-05-26: Neque impedit corrupti ex fugit rerum libero omnis placeat ducimus.', '2023-07-08: Vitae odit laudantium cumque recusandae cumque quam laborum totam.', '2023-08-06: Voluptatibus vero minima saepe asperiores repellendus aliquid ab consequuntur occaecati.', '2023-10-19: Provident ab magni fuga nulla.', '2023-11-18: Totam omnis accusamus minus illum accusantium quam modi enim magnam praesentium.', '2023-12-22: Rem tenetur autem atque corrupti deleniti minima repellendus eaque.', '2024-03-09: Aspernatur vero itaque doloribus possimus error repudiandae aspernatur.', '2024-04-30: Atque fugit mollitia animi ab.', '2024-07-19: Assumenda sapiente officia ex voluptate voluptate.', '2024-09-06: Ullam dolorem temporibus porro necessitatibus earum unde placeat eligendi molestiae.', '2024-11-13: Debitis sed accusamus dignissimos corporis.', '2025-01-28: Ut error natus necessitatibus sed perspiciatis molestiae fugit.', '2025-04-13: Ratione porro aspernatur quia exercitationem atque.', '2025-05-29: Saepe excepturi quisquam veritatis id quo adipisci.', '2025-06-04: Quos iste dolorem mollitia fugiat delectus nesciunt.', '2025-06-04: Assumenda nulla reiciendis quae aspernatur culpa quae odio.', '2025-06-04: Et autem a est facere earum consequatur deleniti.', '2025-06-04: Nam maiores aut at mollitia nisi quos sint accusamus.', '2025-06-04: Harum assumenda temporibus temporibus voluptatem nemo cumque fugit.', '2025-06-04: Eaque eaque corporis cumque eius error.', '2025-06-04: Facere velit quam libero nulla.']"
18,19150-35.2016.6.65.5377,Paulo Pacheco,Nunes S.A.,Recuperação Judicial,Direito Administrativo,539042.0,31435.5,85538.43,192665.41,Encerrado,Encerrado,2021-07-30,2024-03-17,2025-05-27,1397.0,Prejudicado,Bernardo Aparecida,Souza Novais - EI Advogados,TST,Goiânia,2ª Instância,PB,Odio possimus officia voluptatum mollitia laudantium consequuntur.,"['2021-08-19: Eum veniam dicta et vitae voluptas eos.', '2021-10-13: Voluptas quos eveniet eligendi ratione facilis ut dicta voluptatum.', '2021-12-27: Placeat mollitia veritatis iure provident ipsa.', '2022-02-28: Rerum architecto sed recusandae perferendis consequuntur esse.', '2022-05-03: Omnis quaerat ratione asperiores voluptatibus laboriosam id.', '2022-06-06: Unde sit in alias voluptas praesentium repellat nisi totam.', '2022-08-23: Quisquam omnis explicabo officia aliquid.', '2022-09-11: Vitae ex recusandae autem atque dolore quia nam.', '2022-10-12: Dolore fugiat iure perspiciatis porro corrupti voluptatum laboriosam eos ullam.', '2022-12-30: Blanditiis velit consequuntur est iste.', '2023-03-30: Maxime expedita atque quam iste architecto.', '2023-05-26: Repellat beatae sed officia perspiciatis.', '2023-06-22: Ut qui maiores mollitia ex incidunt.', '2023-09-01: Doloremque illo delectus odit inventore adipisci nostrum deserunt nihil.', '2023-09-28: A dolor eius provident recusandae neque reiciendis modi.', '2023-12-19: Eveniet itaque ea similique minus odit nisi nostrum.', '2024-03-01: Beatae explicabo itaque cupiditate perferendis reiciendis ullam nihil perferendis est.', '2024-03-17: Esse delectus possimus magni in consequuntur fugit.']"
19,28894-52.1999.2.61.5342,Ísis Santos,Vitória Novais,Recuperação Judicial,Direito de Família,954185.45,93273.43,0.0,508402.23,Saneamento,Ativo,2023-02-05,2024-11-13,,,,Bruno da Conceição,Martins Garcia Ltda. Advogados,TJSC,Goiânia,TST,MT,Recusandae id voluptas repudiandae. Eaque repudiandae excepturi neque necessitatibus laborum exercitationem.,"['2023-03-28: Nulla sint veritatis laborum deserunt fugit natus officiis illum.', '2023-05-11: Impedit saepe laborum assumenda adipisci quis eos eius modi.', '2023-06-06: Quos natus quo libero magni nemo.', '2023-08-15: Quod reprehenderit facilis reprehenderit aliquam quaerat molestias.', '2023-09-11: Aut rerum quibusdam error voluptatum ipsum expedita repellendus ipsa.', '2023-10-08: Quod dolores repellat nihil expedita quae.', '2023-12-18: Incidunt nulla quos repellendus rem necessitatibus minus nisi cumque voluptatem eos.', '2024-01-23: Eaque similique voluptates perspiciatis atque vitae quos ullam voluptatibus sint.', '2024-03-16: Praesentium consequatur corporis eum dolorum sapiente.', '2024-04-03: Laudantium neque eaque impedit iste odio sunt at.', '2024-04-23: Quibusdam possimus soluta iste laborum neque sit sed at voluptas.']"
20,52516-07.2008.6.48.8056,Santos e Filhos,Laura Lima,Divórcio,Direito de Família,870968.76,84274.46,202557.55,408414.61,Suspenso,Suspenso,2020-10-31,2022-07-19,,,,Bernardo Aparecida,Rodrigues Duarte S/A Advogados,TRF5,Belo Horizonte,1ª Instância,RN,Officia quos recusandae dolores harum. Libero nisi minus voluptate voluptates.,"['2020-11-16: Aut quos itaque commodi similique.', '2021-01-29: Itaque voluptatibus incidunt voluptatum tenetur sunt error soluta soluta.', '2021-03-21: Omnis dolorum fuga temporibus cumque.', '2021-06-13: Numquam quas quidem inventore at atque distinctio aspernatur.', '2021-07-18: Dolorem perspiciatis ab possimus repellendus voluptates in consequatur architecto fugit.', '2021-08-11: Aut facilis error fugit repellendus.', '2021-10-21: Odit perspiciatis architecto natus nostrum cum.', '2021-12-19: Quam occaecati corrupti illum placeat similique assumenda aut.', '2022-03-19: Nihil fugit vitae et consequuntur eius.', '2022-05-11: Dolorum nobis quam eligendi velit.', '2022-07-19: Sed omnis error maxime magni.']"
21,42780-58.2009.4.50.8916,Novaes,Agatha Gomes,Mandado de Segurança,Direito Imobiliário,977966.54,99901.41,159590.26,680405.62,Recurso Extraordinário,Ativo,2023-02-11,2025-03-16,,,,Eduardo Cunha,Souza Novais - EI Advogados,TJPR,Florianópolis,STJ,AC,Libero magni animi similique. Facilis ducimus aut nemo.,"['2023-04-03: Harum saepe in molestias cupiditate iusto.', '2023-05-17: Accusantium architecto ea aliquam aperiam.', '2023-07-16: Magni occaecati magnam impedit praesentium assumenda modi nulla.', '2023-08-28: Assumenda aspernatur ullam voluptate culpa eveniet nesciunt.', '2023-10-06: Est ipsa veritatis dolores doloribus.', '2023-11-22: Blanditiis nostrum animi pariatur omnis cupiditate accusamus consequatur accusamus.', '2023-12-24: Veritatis minima quos quam cumque consectetur quos eaque suscipit.', '2024-01-20: Ex inventore minima ea voluptate.']"
22,92242-82.1992.5.57.1546,Casa Grande Alves S/A,Julia Montenegro,Recuperação Judicial,Direito Tributário,201594.0,24213.82,0.0,101086.45,Suspenso,Suspenso,2021-05-27,2023-06-22,,,,Cauã Rocha,Azevedo Advogados,TJSC,Florianópolis,STF,CE,Atque aut recusandae commodi aperiam. Consectetur reprehenderit fuga occaecati officia.,"['2021-08-11: Qui a similique accusamus aliquid facilis ullam.', '2021-10-02: Ut similique mollitia totam qui in.', '2021-11-29: Dolorum totam eum repudiandae nemo blanditiis perferendis amet.', '2021-12-28: Rem voluptatem veritatis architecto iure eligendi sapiente.', '2022-03-12: Assumenda itaque fuga eos quos qui doloribus fuga.', '2022-04-05: Voluptatum quod quasi molestias recusandae corrupti ut ad molestiae.', '2022-05-08: Veritatis a omnis sed.', '2022-06-20: Aut minus dolores laudantium animi voluptatum quae.', '2022-08-24: Aliquam doloremque sapiente impedit tempora.', '2022-11-18: Voluptate assumenda atque consequatur reprehenderit asperiores necessitatibus ipsa vitae.', '2023-01-18: Eos sed unde hic rerum eveniet iste.', '2023-02-13: Asperiores dicta quod nesciunt culpa cum iure.', '2023-04-19: Blanditiis facere quo iste iure sequi at rem.', '2023-05-05: Repudiandae possimus aliquam saepe eveniet at dolorum.', '2023-06-22: Id aliquid error reprehenderit cupiditate veritatis sequi nam.']"
23,80329-15.2019.6.87.5295,Renan Pimenta,Alexandre Farias,Revisão Contratual,Direito Ambiental,328678.28,31359.69,58202.61,217210.9,Arquivado,Arquivado,2022-08-16,2023-06-27,2023-07-10,328.0,Parcialmente Procedente,Dra. Aurora Pastor,Andrade Dias - ME Advogados,TST,São Paulo,TST,PR,Aut omnis eaque repellendus.,"['2022-10-08: Accusantium aperiam temporibus ipsam consectetur.', '2022-12-25: Commodi velit amet unde inventore quam libero fugit.', '2023-01-23: Cupiditate dolor deleniti eius sunt alias nulla doloribus eos.', '2023-02-19: Sunt laboriosam assumenda fugit in odit reiciendis dolorum.', '2023-04-05: Recusandae voluptatibus quos facere molestias laborum totam magnam harum debitis.', '2023-06-27: Nisi adipisci repellat eligendi repellat iusto facere nesciunt.']"
24,27781-49.2019.6.86.9850,Luiz Gustavo Vasconcelos,Rafael Leão,Recuperação Judicial,Direito Tributário,33683.57,2084.14,8087.8,0.0,Execução,Ativo,2020-11-23,2022-12-16,,,,Luiz Henrique Ferreira,Martins Garcia Ltda. Advogados,TST,Campinas,STF,GO,Delectus et repellat. Dolore natus vel consequuntur quia dolores voluptatem cumque.,"['2021-01-22: Nemo voluptatem harum vel voluptatibus cupiditate dolores.', '2021-02-13: Rem possimus totam adipisci praesentium veniam natus natus.', '2021-04-19: Saepe repellat voluptas molestiae cupiditate alias.', '2021-06-08: Doloremque dolor minima a ullam.', '2021-07-17: Rem exercitationem debitis rem sit animi.', '2021-08-16: Nesciunt totam quo sed similique vero.', '2021-10-28: Provident optio nesciunt excepturi eum voluptate quasi ipsa.', '2021-11-23: Officiis cupiditate voluptas possimus ut ratione dolore nihil cupiditate.', '2022-01-04: Quasi eos debitis a praesentium nemo sed.']"
